4	1	4,558,879
4	2	4
4	3	4
8	4	8
8	5	8
8	6	8
8	7	8
8	8	8
8	9	8
8	10	8
11	11	11,48,241,603,955,1038,2299
11	12	11
11	13	11,48,603,820,955,1038,1507
11	14	11,48,241,699,955,1038,1174,2299
11	15	11,105,323,671,1175
18	16	18
18	17	18,528
18	18	18,528
18	19	18
26	20	26
26	21	26,338,1196,1197,1297
27	22	27
27	23	27
27	24	27,1021
31	25	31,1312,1352,1368
31	26	31
31	27	31,2080
31	28	31
32	29	32,551
32	30	32
32	31	32,2747
32	32	32,2747
34	33	34,239
35	34	35,56,1197
35	35	35
35	36	35
35	37	35
35	38	35
35	39	35
35	40	35,1197
35	41	35
35	42	35
35	43	35
35	44	35,1197
43	45	43
47	46	47,173,283,383,694,902,2205
47	47	47,694,1013,1575
48	48	48,241,603,699,955,2314
48	49	48,311,1998
48	50	48
48	51	48,241,2395
52	52	52
52	53	52,1381
52	54	52
53	55	53,368,555
53	56	53
53	57	53
53	58	53
53	59	53
53	60	53
53	61	53
53	62	53,368,815,3116
56	63	56,1197
58	64	58,839,904
58	65	58,716
58	66	58,716
58	67	58,716
71	68	71,158
71	69	71,158
71	70	71,1108
71	71	71
71	72	71
71	73	71
71	74	71
76	75	76,2351
76	76	76,683,1176,1486,1488,2097,2929,3550
76	77	76,1486
76	78	76
76	79	76,825
76	80	76,3564
76	81	76,2253
76	82	76
77	83	77,385,576,946,1546
77	84	77
77	85	77,223
78	86	78
86	87	86,499,694,817,1013,1032,1800,3523
86	88	86,499,1013,1444,1445,1575
86	89	86,499,1013
92	90	92,289
92	91	92,772,986,1005,2073
92	92	92
92	93	92
96	94	96,1189
96	95	96,1189
96	96	96,1290
102	97	102
102	98	102
102	99	102
102	100	102,1031
102	101	102,2966
104	102	104,440,1185
104	103	104,440,1185
104	104	104,406,440,1185,1359
105	105	105,671,1057
105	106	105,618,829,1008,1057
105	107	105,618,671,1057
105	108	105,1077
105	109	105,184,324,443,671,796,829,1008,1057,1525
106	110	106
106	111	106
106	112	106,2035
108	113	108
108	114	108
108	115	108
108	116	108
110	117	110
110	118	110,1297
112	119	112,642
112	120	112
115	121	115
115	122	115
115	123	115
116	124	116
116	125	116
116	126	116
116	127	116
119	128	119
119	129	119
119	130	119
120	131	120
120	132	120
120	133	120
120	134	120
126	135	126,271
126	136	126,3139
126	137	126
126	138	126,1262
126	139	126
128	140	128,534,769,995,1231
128	141	128,603,973
128	142	128,534,925,1231
129	143	129
129	144	129
129	145	129,160,422,772,989,3595
129	146	129
130	147	130,895,3046
130	148	130
130	149	130,1277,3661
139	150	139,283,670,3595
139	151	139
145	152	145,196
145	153	145
145	154	145,1073
148	155	148
148	156	148
151	157	151
151	158	151,3348
151	159	151
151	160	151
151	161	151
154	162	154
154	163	154
154	164	154,388,2419,2420
154	165	154,969,1315,2961
158	166	158
158	167	158
158	168	158,3116
158	169	158
158	170	158
160	171	160,736,986
160	172	160
160	173	160
161	174	161
161	175	161
162	176	162,203
162	177	162
163	178	163,353
164	179	164,631
164	180	164,3561
164	181	164,3561
164	182	164,2472
173	183	173
173	184	173
175	185	175,893
175	186	175,893,1081
175	187	175,1005
175	188	175
179	189	179,250,842
179	190	179
179	191	179
179	192	179,250,842
179	193	179
179	194	179
184	195	184,829,1008
184	196	184
184	197	184
184	198	184
184	199	184
184	200	184
184	201	184
184	202	184,796,829,872,1008,1057
184	203	184,796
187	204	187
187	205	187
187	206	187
187	207	187,2190,2577,3225
190	208	190,968,1000
190	209	190,968,1060
190	210	190,968,1000
190	211	190
193	212	193,683
193	213	193
194	214	194,383,902
196	215	196,1507,3396
196	216	196,691,994,1049,1905,3396
196	217	196,331,1117,1507,2097
202	218	202,673,1067,1230,3517
202	219	202,2413,2414
202	220	202,713
203	221	203,283,289,571,891,2073,3595
203	222	203
203	223	203
204	224	204,226
204	225	204
204	226	204
204	227	204,1038
206	228	206,2984,2991
206	229	206
206	230	206,1986
212	231	212
212	232	212,2896
212	233	212,805,2023,2701,2713,2896
212	234	212,2896
214	235	214
214	236	214
218	237	218,1402,3636,3641
218	238	218
218	239	218,1181,1402
219	240	219
221	241	221
221	242	221
221	243	221
223	244	223,285,576,1117,1366,1546,2097
223	245	223
226	246	226
230	247	230
237	248	237,243,1480,2734
237	249	237,243
238	250	238,1683
238	251	238
238	252	238
238	253	238
238	254	238
239	255	239
239	256	239
239	257	239
243	258	243,443,2734
243	259	243,443
243	260	243,2430
245	261	245
245	262	245,3114
245	263	245,3114
245	264	245,1217
245	265	245
245	266	245
245	267	245
245	268	245
250	269	250,1406
250	270	250,3708
251	271	251
255	272	255,816,1357,1626,2986
255	273	255
255	274	255
257	275	257,870
257	276	257
266	277	266,2291
274	278	274,746
274	279	274,746,1667,1895,2199,3797
274	280	274,542,746
285	281	285
285	282	285
285	283	285,632,1504
285	284	285
285	285	285
285	286	285
285	287	285,2054
285	288	285,1019
285	289	285
285	290	285
285	291	285
285	292	285,3156
285	293	285
285	294	285
285	295	285,1357,2030,3160
285	296	285,1117
289	297	289
302	298	302
302	299	302
302	300	302
303	301	303,307,598,2859
303	302	303
303	303	303
303	304	303
303	305	303
303	306	303,418
303	307	303
307	308	307,973
307	309	307,598
307	310	307
307	311	307,632,973
309	312	309,974,1116,2250,2381
309	313	309
309	314	309,1067
309	315	309,380,1517
309	316	309,1881,2304
309	317	309
309	318	309,325
309	319	309,325,706,1643,1645,2196
309	320	309
309	321	309,632,978,1906,2058,3243
309	322	309
309	323	309,988,1291,1508,1729,2232
309	324	309,2622
311	325	311
311	326	311
311	327	311
312	328	312
314	329	314
314	330	314
314	331	314
314	332	314
314	333	314
316	334	316,995
316	335	316
316	336	316
316	337	316
320	338	320
320	339	320
320	340	320
320	341	320
323	342	323
323	343	323,3508
323	344	323
323	345	323,1008
323	346	323
324	347	324
324	348	324,327,532,1040
325	349	325
325	350	325,1895
325	351	325,2962
326	352	326,632,1015,2107
326	353	326
326	354	326,885,939
326	355	326
326	356	326,632,942
326	357	326,885,939,1238
327	358	327,1040
327	359	327,1040
327	360	327
329	361	329
329	362	329
329	363	329
329	364	329
329	365	329
331	366	331
331	367	331
331	368	331
333	369	333,550
333	370	333
333	371	333,550
333	372	333,550,1924
341	373	341,691,713,3396
342	374	342,978,1048,1544,2490,3359
342	375	342
342	376	342
342	377	342
345	378	345,483,1093
345	379	345
345	380	345
345	381	345,1077,2966
345	382	345,1093,2109,2904
345	383	345,483,1093
347	384	347,1428
362	385	362
362	386	362,1073
363	387	363
363	388	363,528,2447,2486
363	389	363,2447,2486
368	390	368
368	391	368,1070
368	392	368
368	393	368,1091,2698
370	394	370,2969
370	395	370,2969
371	396	371
371	397	371,1429,1433,3210
371	398	371
371	399	371,1433
371	400	371
373	401	373,599,978,1370,2077,3693
373	402	373,674,904,1880,1881,1882,2496
373	403	373,978,1370,2077,3693
373	404	373
373	405	373,594,674,904,1338,2496
373	406	373,594,1880
380	407	380
380	408	380
380	409	380
380	410	380
380	411	380
380	412	380
383	413	383
383	414	383
385	415	385
385	416	385
385	417	385
385	418	385,1365,1412
386	419	386
386	420	386,809
386	421	386
388	422	388,969,2305
388	423	388
388	424	388
388	425	388
388	426	388
388	427	388,969
388	428	388,1291
393	429	393
393	430	393
394	431	394,2554
394	432	394,2554
394	433	394
396	434	396,1182,1442,2522,3503,3508
396	435	396,1442,2526,3502,3508
396	436	396,3539
396	437	396,1182,1438,1549,3503,3539
396	438	396,1442,1549,3502,3508
400	439	400,1825,3049
401	440	401
401	441	401,2837
403	442	403
404	443	404
404	444	404
405	445	405,686,1167
405	446	405,686,1052,1167,1168,1175
406	447	406,3309
406	448	406
414	449	414,2314
414	450	414
414	451	414,699
414	452	414
418	453	418
418	454	418
418	455	418
422	456	422,989
440	457	440
440	458	440,1359
440	459	440,672
440	460	440,672,673
