309	325	309,325,706,1643,1645,2196,1895,2962
309	380	380,309,1517
309	632	285,632,1504,307,973,326,1015,2107,942,309,978,1906,2058,3243,889,1555
309	706	309,325,706,1643,1645,2196,2216,2388
309	974	974,710,978,1042,1116,1717,1832,2359,309,2250,2381,988,1703,2232,2233,2235,1646,2832
309	978	309,632,978,1906,2058,3243,342,2490,1544,3359,373,1370,3693,710,974,1042,1116,599
309	988	309,988,1291,1508,1729,2232,2235,974,1703,2233
309	1067	202,673,1067,1230,3517,309,1645,2326,2250
309	1116	1116,1646,1729,309,974,2250,2381,710,978,1042,2233
309	1291	309,988,1291,1508,1729,2232,1724,388,1350,2145
309	1508	1508,1509,2079,1510,1511,3686,674,839,904,1513,1514,2107,2388,2775,3504,309,988,1291,1729,2232
309	1517	907,1517,309,380
309	1643	706,1643,2196,309,325,1645,1895,2199,3797,3824
309	1645	309,325,706,1643,1645,2196,710,773,1042,2216,1067,2326,1646,1724,1729,3697
309	1729	1116,1646,1729,1645,1724,2226,309,988,1291,1508,2232
309	1881	1881,309,2304,373,674,904,1880,1882,2496
309	1906	1906,895,309,632,978,2058,3243,773
309	2058	309,632,978,1906,2058,3243
309	2196	706,1643,2196,309,325,1645
309	2232	2232,309,988,1291,1508,1729,974,1703,2233,2235
309	2250	309,974,1116,2250,2381,1067
309	2304	2304,309,1881
309	2381	2381,2358,309,974,1116,2250
309	2622	2622,309
309	3243	3243,2058,309,632,978,1906
